JABATAN KETUA MENTERI MELAKA,PERANAKAN,012-234-1222
PEJABAT PENASIHAT UNDANG-UNDANG NEGERI MELAKA,PERANAKAN,012-234-1221
PEJABAT KEWANGAN DAN PERBENDAHARAAN NEGERI MELAKA,PERANAKAN,012-234-1220
JABATAN AGAMA ISLAM MELAKA,PERANAKAN,012-234-1219
JABATAN KEBAJIKAN MASYARAKAT,PERANAKAN,012-234-1218
JABATAN KERJA RAYA MELAKA,PERANAKAN,012-234-1217
JABATAN KEWANGAN DAN PERBENDAHARAAN NEGERI MELAKA,PERANAKAN,012-234-1216
JABATAN MUFTI NEGERI MELAKA,PERANAKAN,012-234-1215
JABATAN PENGAIRAN DAN SALIRAN MELAKA,PERANAKAN,012-234-1214
JABATAN PERANCANG BANDAR DAN DESA,PERANAKAN,012-234-1213
JABATAN PERKHIDMATAN VETERINAR NEGERI MELAKA,PERANAKAN,012-234-1212
JABATAN PERTANIAN NEGERI MELAKA,PERANAKAN,012-234-1211
MAHKAMAH SYARIAH MELAKA,PERANAKAN,012-234-1210
PEJABAT DAERAH DAN TANAH ALOR GAJAH,ST.PAUL HILL,012-234-1223
PEJABAT DAERAH DAN TANAH JASIN,ST.PAUL HILL,012-234-1222
PEJABAT DAERAH DAN TANAH MELAKA TENGAH,ST.PAUL HILL,012-234-1221
PEJABAT PEMBANGUNAN NEGERI MELAKA,ST.PAUL HILL,012-234-1220
PEJABAT PENGARAH TANAH DAN GALIAN MELAKA,ST.PAUL HILL,012-234-1219
PEJABAT PERHUTANAN NEGERI MELAKA,ST.PAUL HILL,012-234-1218
PEJABAT TYT YANG DI-PERTUA NEGERI MELAKA,ST.PAUL HILL,012-234-1217
AGENSI ANTIDADAH KEBANGSAAN,ST.PAUL HILL,012-234-1216
AKADEMI KASTAM DIRAJA MALAYSIA,ST.PAUL HILL,012-234-1215
AKADEMI PENGANGKUTAN JALAN MALAYSIA,ST.PAUL HILL,012-234-1214
ARKIB NEGARA MALAYSIA,ST.PAUL HILL,012-234-1213
BADAN PENCEGAH RASUAH MELAKA,ST.PAUL HILL,012-234-1212
BIRO BANTUAN GUAMAN NEGERI MELAKA,ST.PAUL HILL,012-234-1211
BIRO PENGADUAN AWAM,ST.PAUL HILL,012-234-1210
BIRO TATANEGARA JABATAN PERDANA MENTERI CAWANGAN NEGERI MELAKA,ST.PAUL HILL,012-234-1209
IBU PEJABAT POLIS KONTINJEN,ST.PAUL HILL,012-234-1208
IKATAN RELAWAN RAKYAT MALAYSIA (RELA),ST.PAUL HILL,012-234-1207
IKATAN RELAWAN RAKYAT MALAYSIA PUSAT LATIHAN RELA WILAYAH SELATAN,ST.PAUL HILL,012-234-1206
JABATAN AKAUNTAN NEGARA MALAYSIA,ST.PAUL HILL,012-234-1205
JABATAN ALAM SEKITAR,PULAU UPEH,012-234-1224
JABATAN AUDIT NEGARA,PULAU UPEH,012-234-1223
JABATAN BELIA DAN SUKAN NEGERI MELAKA,PULAU UPEH,012-234-1222
JABATAN BOMBA DAN PENYELAMAT NEGERI MELAKA,PULAU UPEH,012-234-1221
JABATAN HAL EHWAL KESATUAN SEKERJA MELAKA / NEGERI SEMBILAN,PULAU UPEH,012-234-1220
JABATAN HAL EHWAL KHAS MELAKA,PULAU UPEH,012-234-1219
JABATAN HAL EHWAL ORANG ASLI NEGERI SEMBILAN / MELAKA,PULAU UPEH,012-234-1218
JABATAN IMIGRESEN NEGERI,PULAU UPEH,012-234-1217
JABATAN INSOLVENSI MALAYSIA,PULAU UPEH,012-234-1216
JABATAN KASTAM DIRAJA MALAYSIA,PULAU UPEH,012-234-1215
JABATAN KEBUDAYAAN KESENIAN DAN WARISAN NEGERI MELAKA,PULAU UPEH,012-234-1214
JABATAN KEMAJUAN MASYARAKAT (KEMAS),PULAU UPEH,012-234-1213
JABATAN KESELAMATAN DAN KESIHATAN PEKERJA MELAKA,PULAU UPEH,012-234-1212
JABATAN KESELAMATAN JALAN RAYA MELAKA,PULAU UPEH,012-234-1211
JABATAN KESIHATAN NEGERI MELAKA,PULAU UPEH,012-234-1210
JABATAN KETUA PENGARAH TANAH DAN GALIAN,PULAU UPEH,012-234-1209
JABATAN KIMIA MALAYSIA CAWANGAN MELAKA,PULAU UPEH,012-234-1208
JABATAN LAUT WILAYAH TENGAH,PULAU UPEH,012-234-1207
JABATAN MINERAL DAN GEOSAINS,HARI MERDEKA,012-234-1225
JABATAN MUZIUM MALAYSIA WILAYAH SELATAN,HARI MERDEKA,012-234-1224
JABATAN PELAJARAN MELAKA,HARI MERDEKA,012-234-1223
JABATAN PEMBANGUNAN KOPERASI,HARI MERDEKA,012-234-1222
JABATAN PENDAFTARAN NEGARA NEGERI MELAKA,HARI MERDEKA,012-234-1221
JABATAN PENDAFTARAN PERTUBUHAN,HARI MERDEKA,012-234-1220
JABATAN PENERANGAN NEGERI MELAKA,HARI MERDEKA,012-234-1219
JABATAN PENERBANGAN AWAM,HARI MERDEKA,012-234-1218
JABATAN PENGANGKUTAN JALAN NEGERI MELAKA,HARI MERDEKA,012-234-1217
JABATAN PENILAIAN DAN PERKHIDMATAN HARTA NEGERI MELAKA,HARI MERDEKA,012-234-1216
JABATAN PENJARA MALAYSIA,HARI MERDEKA,012-234-1215
JABATAN PENJARA MALAYSIA PENJARA SUNGAI UDANG,HARI MERDEKA,012-234-1214
JABATAN PENYIARAN MALAYSIA MELAKA,HARI MERDEKA,012-234-1213
JABATAN PERANCANGAN BANDAR DAN DESA,HARI MERDEKA,012-234-1212
JABATAN PERANGKAAN MALAYSIA NEGERI MELAKA,HARI MERDEKA,012-234-1211
JABATAN PERHILITAN NEGERI MELAKA,HARI MERDEKA,012-234-1210
JABATAN PERHUBUNGAN PERUSAHAAN MELAKA,HARI MERDEKA,012-234-1209
JABATAN PERIKANAN NEGERI MELAKA,HARI MERDEKA,012-234-1208
JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,HARI MERDEKA,012-234-1207
JABATAN PERTAHANAN AWAM NEGERI MELAKA ,PERANAKAN,012-234-1226
JABATAN SIASATAN JENAYAH NARKOTIK,PERANAKAN,012-234-1225
JABATAN TENAGA KERJA,PERANAKAN,012-234-1224
JABATAN UKUR DAN PEMETAAN MELAKA,PERANAKAN,012-234-1223
JEMAAH NAZIR SEKOLAH KEMENTERIAN PELAJARAN MALAYSIA,PERANAKAN,012-234-1222
KEMENTERIAN KESELAMATAN DALAM NEGERI,PERANAKAN,012-234-1221
MAHKAMAH SESYEN MELAKA,PERANAKAN,012-234-1220
MAHKAMAH TINGGI MELAKA,PERANAKAN,012-234-1219
MAJLIS KESELAMATAN NEGARA,PERANAKAN,012-234-1218
MAJLIS TINDAKAN PELANCONGAN NEGERI MELAKA,PERANAKAN,012-234-1217
MARKAS 3 DIVISYEN,PERANAKAN,012-234-1216
MARKAS BRIGED PERTAMA INFANTRI,PERANAKAN,012-234-1215
MARKAS GARISON TERENDAK,PERANAKAN,012-234-1214
MEMORIAL PENGISYTIHARAAN KEMERDEKAAN,PERANAKAN,012-234-1213
PEJABAT AUDIT SEKOLAH MELAKA,PERANAKAN,012-234-1212
PEJABAT KETUA PEGAWAI KESELAMATAN KERAJAAN CAWANGAN MELAKA,PERANAKAN,012-234-1211
PEJABAT PEMBANGUNAN WANITA NEGERI MELAKA,PERANAKAN,012-234-1210
PEJABAT PENDAFTARAN MAHKAMAH TINGGI MALAYA,PERANAKAN,012-234-1209
PEJABAT PERDAGANGAN DALAM NEGERI DAN HAL EHWAL PENGGUNA MALAYSIA,PERANAKAN,012-234-1208
PEJABAT PILIHANRAYA,PERANAKAN,012-234-1207
PENJARA PRA BEBAS,PERANAKAN,012-234-1206
PERCETAKAN NASIONAL MALAYSIA BERHAD,ST.PAUL HILL,012-234-1205
PUSAT KHIDMAT KONTRAKTOR NEGERI MELAKA,ST.PAUL HILL,012-234-1204
PUSAT LATIHAN (KEMAS),ST.PAUL HILL,012-234-1203
PUSAT LATIHAN PEPERANGAN KHUSUS,ST.PAUL HILL,012-234-1202
PUSAT SERENTI,ST.PAUL HILL,012-234-1201
REJIMEN 514 ASKAR WATANIAH,ST.PAUL HILL,012-234-1200
SIRIM BERHAD CAWANGAN MELAKA,ST.PAUL HILL,012-234-1199
STESEN METEOROLOGI MELAKA,ST.PAUL HILL,012-234-1198
SURUHANJAYA SYARIKAT MALAYSIA,ST.PAUL HILL,012-234-1197
ZOO MELAKA,ST.PAUL HILL,012-234-1196
MAJLIS BANDARAYA MELAKA BERSEJARAH,ST.PAUL HILL,012-234-1195
MAJLIS PERBANDARAN ALOR GAJAH,ST.PAUL HILL,012-234-1194
MAJLIS PERBANDARAN JASIN,ST.PAUL HILL,012-234-1193
AMANAH SAHAM NASIONAL BHD,ST.PAUL HILL,012-234-1192
BANK KERJASAMA RAKYAT MALAYSIA BERHAD,ST.PAUL HILL,012-234-1191
BANK PEMBANGUNAN INFRASTRUKTUR MALAYSIA BHD,ST.PAUL HILL,012-234-1190
BANK PERTANIAN MALAYSIA,ST.PAUL HILL,012-234-1189
BANK SIMPANAN NASIONAL,ST.PAUL HILL,012-234-1188
PETRONAS PENAPISAN (MELAKA) SDN. BHD,ST.PAUL HILL,012-234-1187
POS MALAYSIA BERHAD,ST.PAUL HILL,012-234-1186
TELEKOM MALAYSIA BERHAD,ST.PAUL HILL,012-234-1185
TENAGA NASIONAL BERHAD,ST.PAUL HILL,012-234-1184
INSTITUT INTEGRITI MELAKA (IIM),ST.PAUL HILL,012-234-1183
INSTITUT KAJIAN SEJARAH DAN PATRIOTISME MALAYSIA,ST.PAUL HILL,012-234-1182
INSTITUT PENGURUSAN MELAKA (IMM),ST.PAUL HILL,012-234-1181
INSTITUT SENI MALAYSIA MELAKA,ST.PAUL HILL,012-234-1180
KUMPULAN MELAKA BERHAD,ST.PAUL HILL,012-234-1179
PERBADANAN KETUA MENTERI (CMI),ST.PAUL HILL,012-234-1178
SEKRETARIAT DUNIA MELAYU DUNIA ISLAM,PERANAKAN,012-234-1177
KOLEJ TEKNOLOGI ISLAM ANTARABANGSA MELAKA,PERANAKAN,012-234-1176
MAJLIS AGAMA ISLAM MELAKA,PERANAKAN,012-234-1175
PERBADANAN BIOTEKNOLOGI MELAKA,PERANAKAN,012-234-1174
PERBADANAN HANG TUAH JAYA,PERANAKAN,012-234-1173
PERBADANAN KEMAJUAN NEGERI MELAKA,PERANAKAN,012-234-1172
PERBADANAN KEMAJUAN TANAH ADAT MELAKA (PERTAM),PERANAKAN,012-234-1171
PERBADANAN MUZIUM MELAKA (PERZIM),PERANAKAN,012-234-1170
PERBADANAN PEMBANGUNAN SUNGAI & PANTAI MELAKA,PERANAKAN,012-234-1169
PERBADANAN PERPUSTAKAAN AWAM MELAKA (PERPUSTAM),PERANAKAN,012-234-1168
PERBADANAN STADIUM MELAKA,PERANAKAN,012-234-1167
SYARIKAT AIR MELAKA BERHAD,PERANAKAN,012-234-1166
YAYASAN MELAKA,PERANAKAN,012-234-1165
INSTITUT KEMAHIRAN BELIA NEGARA (IKBN),PERANAKAN,012-234-1164
INSTITUT KEMAHIRAN MARA,PERANAKAN,012-234-1163
INSTITUT LATIHAN PERINDUSTRIAN,PERANAKAN,012-234-1162
INSTITUT PERGURUAN PEREMPUAN MELAYU MELAKA,PERANAKAN,012-234-1161
KOLEJ ANTARABANGSA DMDI,HARI MERDEKA,012-234-1160
KOLEJ ANTARABANGSA SAINS DAN TEKNOLOGI MELAKA,HARI MERDEKA,012-234-1159
KOLEJ KOMUNITI ALOR GAJAH,HARI MERDEKA,012-234-1158
KOLEJ KOMUNITI BUKIT BERUANG,HARI MERDEKA,012-234-1157
KOLEJ KOMUNITI JASIN,HARI MERDEKA,012-234-1156
KOLEJ KOMUNITI SELANDAR,HARI MERDEKA,012-234-1155
KOLEJ MATRIKULASI MELAKA,HARI MERDEKA,012-234-1154
KOLEJ PROFESIONAL MARA MELAKA,HARI MERDEKA,012-234-1153
KOLEJ YAYASAN MELAKA,HARI MERDEKA,012-234-1152
MAKTAB RENDAH SAINS MARA KEM TERENDAK,HARI MERDEKA,012-234-1151
MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,HARI MERDEKA,012-234-1150
POLITEKNIK KOTA MELAKA,HARI MERDEKA,012-234-1149
POLITEKNIK MERLIMAU MELAKA,HARI MERDEKA,012-234-1148
PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC),HARI MERDEKA,012-234-1147
UNIVERSITI MULTIMEDIA,HARI MERDEKA,012-234-1146
UNIVERSITI TEKNIKAL MALAYSIA MELAKA (UTEM),HARI MERDEKA,012-234-1145
UNIVERSITI TEKNOLOGI MARA KAMPUS MELAKA,HARI MERDEKA,012-234-1144
AKADEMI LAUT MALAYSIA,HARI MERDEKA,012-234-1143
AMANAH RAYA BERHAD,PULAU UPEH,012-234-1142
FELCRA BERHAD WILAYAH TENGAH,PULAU UPEH,012-234-1141
KUMPULAN WANG SIMPANAN PEKERJA,PULAU UPEH,012-234-1140
LEMBAGA GETAH MALAYSIA,PULAU UPEH,012-234-1139
LEMBAGA HASIL DALAM NEGERI,PULAU UPEH,012-234-1138
LEMBAGA KEMAJUAN IKAN MALAYSIA,PULAU UPEH,012-234-1137
LEMBAGA KEMAJUAN PERINDUSTRIAN MALAYSIA (MIDA),PULAU UPEH,012-234-1136
LEMBAGA LEBUHRAYA MALAYSIA,PULAU UPEH,012-234-1135
LEMBAGA PEMASARAN PERTANIAN PERSEKUTUAN (FAMA),PULAU UPEH,012-234-1134
LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA,PULAU UPEH,012-234-1133
LEMBAGA PENGGALAKAN PELANCONGAN MALAYSIA,PULAU UPEH,012-234-1132
LEMBAGA PERTUBUHAN PELADANG NEGERI MELAKA,PULAU UPEH,012-234-1131
LEMBAGA TABUNG HAJI NEGERI MELAKA,PULAU UPEH,012-234-1130
LEMBAGA TEMBAKAU NEGARA,PULAU UPEH,012-234-1129
MALAYSIA AIRPORTS BHD,PULAU UPEH,012-234-1128
PEJABAT MARA NEGERI MELAKA,PULAU UPEH,012-234-1127
PEJABAT MARDI NEGERI MELAKA,PULAU UPEH,012-234-1126
PEJABAT RISDA NEGERI MELAKA,PULAU UPEH,012-234-1125
PERBADANAN KEMAJUAN KRAFTANGAN MALAYSIA CAWANGAN MELAKA,PULAU UPEH,012-234-1124
PERTUBUHAN KESELAMATAN SOSIAL,PULAU UPEH,012-234-1123
SEKRETARIAT SUKMA MELAKA 2010,PULAU UPEH,012-234-1122
MUZIUM JABATAN PENJARA MALAYSIA,PULAU UPEH,012-234-1121
PEMASARAN MELAKA SDN BHD (PMSB),PULAU UPEH,012-234-1120
MAJLIS PERBANDARAN HANG TUAH JAYA,PULAU UPEH,012-234-1119
